wavenumber;E3-PBE;PB sigma;PBE modificado (E2-bis)
1,00119;1,237689517;0,003417014;9,04631658
1,0062;1,23825621;0,002913208;9,050306906
1,01122;1,235909543;0,002793486;9,048611503
1,01624;1,236955603;0,005509825;9,049054913
1,02126;1,236012662;0,003362566;9,050833685
1,02627;1,233827874;0,00304333;9,045420232
1,03129;1,231407118;0,004982838;9,042022097
1,03631;1,230120678;0,003669309;9,041066383
1,04133;1,231288902;0,003237982;9,044269503
1,04634;1,231470523;0,003401064;9,043160183
1,05136;1,233700368;0,003599297;9,045816736
1,05638;1,23481471;0,002154518;9,045929482
1,0614;1,235075528;0,001670422;9,045700631
1,06641;1,237812378;0,001616029;9,049440179
1,07143;1,239611862;0,001750132;9,049782021
1,07645;1,243249614;0,001959604;9,050824829
1,08147;1,245130154;0,001862099;9,055414918
1,08648;1,248896574;0,001897153;9,056594353
1,0915;1,253609418;0,002223208;9,06087772
1,09652;1,258048903;0,002276554;9,062459156
1,10154;1,264523606;0,002109849;9,068826917
1,10655;1,27219301;0,00207182;9,074756155
1,11157;1,278288679;0,002142879;9,078302826
1,11659;1,288524228;0,002146556;9,081847054
1,12161;1,295749336;0,002279295;9,087822709
1,12662;1,30241193;0,002416345;9,095015605
1,13164;1,315977499;0,002361676;9,098998968
1,13666;1,323740965;0,002366208;9,107978941
1,14168;1,336078854;0,002354789;9,116985177
1,14669;1,347177682;0,002600818;9,120946553
1,15171;1,362452621;0,002719162;9,13405586
1,15673;1,380269783;0,002804767;9,191951433
1,16175;1,407399064;0,002804849;9,159522021
1,16676;1,418370153;0,002986402;9,163512713
1,17178;1,4517744;0,003243491;9,203274273
1,1768;1,528533472;0,003445085;9,231851635
1,18182;1,93445774;0,003732848;9,407661347
1,18683;2,100738095;0,003948064;9,499369698
1,19185;1,765557589;0,004172013;9,422631634
1,19687;1,610803868;0,004817951;9,314363804
1,20189;1,555774233;0,005325008;9,29570454
1,2069;1,560530741;0,005738691;9,324200671
1,21192;1,663694469;0,006400813;9,459934282
1,21694;1,588563479;0,007030897;9,327696038
1,22196;1,619327493;0,008024831;9,386483317
1,22697;1,550669348;0,008290873;9,312753235
1,23199;1,513318686;0,009340688;9,27692007
1,23701;1,458275116;0,010016432;9,228841209
1,24203;1,439634622;0,010409675;9,225489981
1,24704;1,424155999;0,011110295;9,218600021
1,25206;1,40833852;0,01155884;9,208178048
1,25708;1,400783384;0,012216651;9,19933122
1,2621;1,46716802;0,01204379;9,214520769
1,26711;1,410837545;0,012273055;9,206442274
1,27213;1,40142254;0,012026035;9,197539256
1,27715;1,399821631;0,011862595;9,20684965
1,28217;1,405345033;0,011330415;9,206935156
1,28718;1,421360621;0,010677742;9,218263493
1,2922;1,441227866;0,010514053;9,227934844
1,29722;1,466777838;0,010068015;9,244515089
1,30224;1,486175471;0,008954097;9,258575346
1,30725;1,532579291;0,008561309;9,291862873
1,31227;1,581326527;0,008497136;9,33665891
1,31729;1,613500307;0,008636445;9,385432203
1,32231;1,640571524;0,007781503;9,397722484
1,32732;1,693898757;0,007243455;9,442878258
1,33234;1,734918991;0,007909696;9,4878392
1,33736;1,73609186;0,007911707;9,508160947
1,34238;1,733346649;0,007849546;9,51319237
1,34739;1,746935676;0,007941899;9,535247449
1,35241;1,750208097;0,008806428;9,548404395
1,35743;1,72655562;0,009474983;9,540749156
1,36245;1,698576299;0,010275904;9,533366314
1,36746;1,685389067;0,012727124;9,540628226
1,37248;1,665622155;0,016830943;9,509021505
1,3775;1,651213281;0,021288432;9,499982288
1,38252;1,633566823;0,023325446;9,484482474
1,38753;1,625212742;0,032110262;9,48582492
1,39255;1,619850059;0,042872727;9,489176149
1,39757;1,624258189;0,048128273;9,498019923
1,40259;1,630292079;0,047681725;9,511389413
1,4076;1,6416213;0,058934676;9,531395399
1,41262;1,656311198;0,066572132;9,553792501
1,41764;1,674271195;0,061240968;9,582016845
1,42266;1,694026495;0,055511464;9,606110633
1,42767;1,725306107;0,058893355;9,652552052
1,43269;1,751861727;0,056845873;9,685111555
1,43771;1,78167351;0,045050646;9,724548192
1,44273;1,817505249;0,037792797;9,767044726
1,44774;1,855592148;0,034937756;9,820657053
1,45276;1,902130674;0,029020239;9,878111048
1,45778;1,94909422;0,023585358;9,939351742
1,4628;2,016491239;0,020581559;10,02998821
1,46781;2,155435611;0,018217555;10,22317704
1,47283;2,449412404;0,016627916;10,6223684
1,47785;2,610081567;0,015415818;10,806915
1,48287;2,639907285;0,015170369;10,83438078
1,48788;3,146484644;0,014897784;11,59772432
1,4929;3,7428736;0,014362533;12,37302038
1,49792;3,510039297;0,014903569;11,96631059
1,50294;3,428142825;0,013682312;11,8729929
1,50795;4,061104402;0,013478666;12,87538707
1,51297;3,881945709;0,013444782;12,61927185
1,51799;3,371877613;0,012521618;11,8043376
1,52301;3,287331153;0,011373789;11,77946143
1,52802;3,393542019;0,012183374;12,08678259
1,53304;2,97183395;0,01251261;11,57151059
1,53806;2,68411633;0,012140703;11,26450092
1,54308;2,592641813;0,013677959;11,42905131
1,54809;2,467901934;0,014496552;11,4283184
1,55311;2,350106371;0,014241874;11,12691549
1,55813;2,291690511;0,013583071;10,79469984
1,56315;2,425620576;0,013260915;10,67361098
1,56816;2,489796269;0,012871391;10,57974971
1,57318;2,492697088;0,012508588;10,44242691
1,5782;2,518024098;0,013423198;10,38385523
1,58322;2,1566828;0,013285556;10,05740513
1,58823;2,046145092;0,013227224;9,962530003
1,59325;1,886374742;0,013958959;9,791395643
1,59827;1,737373888;0,015644051;9,627107878
1,60329;1,672136805;0,017984364;9,578610037
1,6083;1,648635291;0,020113662;9,581648558
1,61332;1,645685699;0,017210825;9,597984499
1,61834;1,672136805;0,016713039;9,703935113
1,62335;1,746921741;0,020699876;9,934661121
1,62837;1,743484421;0,021111163;9,94074427
1,63339;1,745388882;0,023835904;9,976650726
1,63841;1,762101689;0,037084547;10,04923319
1,64342;1,664674569;0,076925789;9,795768669
1,64844;1,633692239;0,087493905;9,734375286
1,65346;1,605406347;0,090690813;9,680842357
1,65848;1,575601531;0,061481735;9,594402404
1,66349;1,562985638;0,031398706;9,559551948
1,66851;1,543404526;0,021359919;9,489634217
1,67353;1,525175118;0,012459195;9,454467389
1,67855;1,51137242;0,009572694;9,428116239
1,68356;1,507890972;0,008230943;9,421369197
1,68858;1,505835547;0,00794391;9,419538145
1,6936;1,506286115;0,008301052;9,43963269
1,69862;1,505768195;0,007573642;9,44813444
1,70363;1,520109716;0,007169173;9,486236571
1,70865;1,521024786;0,006783313;9,515146185
1,71367;1,512329295;0,006904523;9,498547007
1,71869;1,507695881;0,006752983;9,492119391
1,7237;1,517417922;0,007044217;9,520210589
1,72872;1,516711878;0,006380924;9,539555735
1,73374;1,496083313;0,006434669;9,478624085
1,73876;1,478204604;0,006942428;9,420073169
1,74377;1,476790193;0,006796233;9,427828572
1,74879;1,466691905;0,006904316;9,414405336
1,75381;1,452594248;0,007423962;9,371435464
1,75883;1,444291262;0,007345823;9,341778893
1,76384;1,440600788;0,007395133;9,328530333
1,76886;1,440136285;0,00798362;9,316903946
1,77388;1,436071886;0,007811185;9,301640496
1,7789;1,437623325;0,007476536;9,294449432
1,78391;1,437514167;0,007919407;9,28923356
1,78893;1,436027759;0,0077543;9,280300004
1,79395;1,436924249;0,00713135;9,27616273
1,79897;1,442493636;0,007396111;9,280706769
1,80398;1,450833782;0,007724066;9,280356194
1,809;1,459680236;0,007476288;9,281695586
1,81402;1,47060534;0,007176845;9,284811673
1,81904;1,480859237;0,007170013;9,285482896
1,82405;1,497846101;0,007473244;9,291235014
1,82907;1,512152784;0,00758389;9,3022482
1,83409;1,530145296;0,007613462;9,311183588
1,83911;1,552708515;0,008086607;9,325477155
1,84412;1,583193828;0,008465098;9,342512414
1,84914;1,59784192;0,00867716;9,354398373
1,85416;1,607979692;0,009412367;9,365908105
1,85918;1,625874659;0,01011632;9,377496626
1,86419;1,657381877;0,010507511;9,391128131
1,86921;1,669268501;0,011419532;9,398131692
1,87423;1,682906301;0,012282174;9,409976119
1,87925;1,705652998;0,012873801;9,421001521
1,88426;1,728046673;0,01383954;9,432561946
1,88928;1,776656881;0,015398877;9,469102369
1,8943;1,832838483;0,017066889;9,507595385
1,89932;1,884827948;0,018448956;9,541400834
1,90433;1,950759462;0,021908255;9,585544582
1,90935;2,039365675;0,023704777;9,644917578
1,91437;2,120690808;0,027242725;9,6926422
1,91939;2,201333123;0,031438237;9,73348358
1,9244;2,308394028;0,034869851;9,793814244
1,92942;2,468364114;0,035822725;9,905204268
1,93444;2,619634065;0,03663125;9,998521966
1,93946;2,788234611;0,040311895;10,09675016
1,94447;3,021463741;0,044605614;10,28251217
1,94949;3,375863046;0,043279331;10,57259163
1,95451;3,781404099;0,044377243;10,87697504
1,95953;4,114475762;0,0489598;11,14773623
1,96454;4,414219357;0,052873774;11,40248945
1,96956;4,448104829;0,063176881;11,39931351
1,97458;4,327380576;0,074281488;11,28869304
1,9796;4,222681667;0,082851433;11,19642584
1,98461;4,157906765;0,095321716;11,10754225
1,98963;4,315930585;0,114245593;11,23050003
1,99465;4,619552777;0,127897396;11,41823479
1,99967;5,1947697;0,142121226;11,87411669
2,00468;6,835997102;0,162768211;13,19000067
2,0097;9,617625091;0,195635346;15,13249782
2,01472;10,35971461;0,218521957;15,7021517
2,01974;9,949001319;0,247277601;15,60595733
2,02475;7,944184426;0,295480528;14,3803678
2,02977;7,167535906;0,359758903;14,61861224
2,03479;6,996087958;0,431920046;14,91810347
2,03981;5,791121495;0,475427471;13,54432575
2,04482;4,69821631;0,509619649;12,49334579
2,04984;4,04359265;0,475522511;12,02493114
2,05486;3,426981569;0,419206792;11,43539708
2,05988;3,034541815;0,390791362;11,00293164
2,06489;2,622388566;0,396270595;10,32249849
2,06991;2,405944241;0,452078059;10,10438463
2,07493;2,294001412;0,567077219;10,02411272
2,07995;2,220424184;0,745171581;9,981591757
2,08496;2,194662864;1,213454561;10,01710122
2,08998;2,170624849;1,797403356;10,02909651
2,095;2,167301332;1,790874556;10,04387685
2,10002;2,209197154;1,503731333;10,11027844
2,10503;2,229358893;0,805243425;10,16985788
2,11005;2,254774159;0,411390138;10,23626558
2,11507;2,355740789;0,27080194;10,39122097
2,12009;2,450438955;0,203665494;10,5557225
2,1251;2,512004143;0,158833025;10,65530046
2,13012;2,627240297;0,11616057;10,86039907
2,13514;2,855740789;0,08605385;11,15731291
2,14016;2,803920867;0,064679882;11,13216801
2,14517;2,90052814;0,050016391;11,32014096
2,15019;2,983130655;0,042867217;11,46515321
2,15521;2,955195463;0,036661414;11,44664114
2,16023;2,874077033;0,031240307;11,38590126
2,16524;2,695396778;0,02751958;11,16709725
2,17026;2,644777596;0,025667687;11,15105875
2,17528;2,430488564;0,024144989;10,82994668
2,1803;2,333261181;0,021793106;10,71945447
2,18531;2,147051337;0,019577308;10,43942809
2,19033;2,009010423;0,017810676;10,23749931
2,19535;1,883699207;0,016538524;9,996616401
2,20037;1,78421434;0,015037451;9,814195235
2,20538;1,701500344;0,013571873;9,67816113
2,2104;1,612608461;0,012533216;9,535412964
2,21542;1,546507404;0,011703948;9,415491874
2,22044;1,488772041;0,011476666;9,314909211
2,22545;1,458244923;0,01238742;9,270479017
2,23047;1,430032422;0,012892065;9,236267414
2,23549;1,408267916;0,013097557;9,209251761
2,24051;1,394264785;0,013926315;9,193184553
2,24552;1,379904916;0,014038435;9,174428178
2,25054;1,372231564;0,013322815;9,16691891
2,25556;1,3678736;0,013587107;9,15205917
2,26058;1,377573577;0,013142763;9,147201813
2,26559;1,356805197;0,010555513;9,138581576
2,27061;1,357267842;0,009447215;9,137391209
2,27563;1,370554477;0,009061396;9,138711057
2,28065;1,385256684;0,007656478;9,142019532
2,28566;1,370768148;0,006200555;9,145508181
2,29068;1,35037555;0,005597482;9,13043773
2,2957;1,353214823;0,005085797;9,120699806
2,30072;1,348522185;0,004350563;9,120127526
2,30573;1,332642927;0,003729432;9,111590352
2,31075;1,326892849;0,003387648;9,107459797
2,31577;1,320527071;0,002986031;9,10358576
2,32079;1,315512532;0,002601355;9,09777562
2,3258;1,310789237;0,002206955;9,094047554
2,33082;1,302962598;0,001956574;9,087084303
2,33584;1,300319346;0,001910735;9,083883321
2,34086;1,292893341;0,001987469;9,075805437
2,34587;1,287360649;0,001812913;9,072410845
2,35089;1,282145213;0,001860777;9,06617745
2,35591;1,278915061;0,001829882;9,064378157
2,36093;1,275631259;0,001881617;9,061549737
2,36594;1,272658674;0,002113899;9,061506373
2,37096;1,271061482;0,001969053;9,057718819
2,37598;1,268706917;0,002079037;9,058925921
2,381;1,267808105;0,002031999;9,05413532
2,38601;1,268678583;0,002097453;9,059854701
2,39103;1,264812759;0,002009975;9,053075105
2,39605;1,264724039;0,001850749;9,048839438
2,40107;1,263521906;0,001824276;9,050927436
2,40608;1,261215882;0,001539874;9,050053686
2,4111;1,260325663;0,001546568;9,046413385
2,41612;1,261441863;0,001331607;9,049949002
2,42114;1,261460211;0,0012246;9,050414399
2,42615;1,260889105;0,001300768;9,050802292
2,43117;1,260494974;0,001013244;9,047992683
2,43619;1,262681853;0,000897311;9,046997881
2,4412;1,260648957;0,00076709;9,050468757
2,44622;1,26185318;0,000812767;9,04849949
2,45124;1,260831506;0,000931292;9,048504743
2,45626;1,263133814;0,000700178;9,048432856
2,46127;1,263358865;0,000594807;9,051565006
2,46629;1,266872132;0,000561391;9,050423561
2,47131;1,268534355;0,000645074;9,054131289
2,47633;1,269393917;0,000613425;9,051793002
2,48134;1,27230751;0,000502795;9,055335947
2,48636;1,273704037;0,000461944;9,054740275
2,49138;1,273097861;0,000459236;9,051670179
2,4964;1,27137084;0,000466068;9,055061595
2,50141;1,273984133;0,000474345;9,053839346
2,50643;1,273619033;0,000473879;9,05162596
2,51145;1,272098716;0,00049853;9,052422449
2,51647;1,276594638;0,000555364;9,054140694
2,52148;1,283568217;0,000641065;9,057209508
2,5265;1,278627302;0,000703463;9,053301818
2,53152;1,27666292;0,00079972;9,055989397
2,53654;1,278616154;0,00083825;9,058178354
2,54155;1,277651846;0,000911896;9,056576274
2,54657;1,27792358;0,001018099;9,061303602
2,55159;1,28529129;0,001069214;9,065770074
2,55661;1,292350337;0,001081209;9,074569263
2,56162;1,297778284;0,001076595;9,079198197
2,56664;1,304069973;0,000978006;9,087116062
2,57166;1,317508733;0,000822913;9,103124027
2,57668;1,327263522;0,000709535;9,115278719
2,58169;1,342485275;0,000576731;9,121844367
2,58671;1,374968878;0,00048273;9,155190526
2,59173;1,411290435;0,000436847;9,19330365
2,59675;1,452368964;0,00040398;9,238356206
2,60176;1,50276983;0,000391373;9,295932352
2,60678;1,540378291;0,000359004;9,344816192
2,6118;1,56990905;0,000312842;9,394711447
2,61682;1,596850207;0,000269167;9,416863636
2,62183;1,631153732;0,000230575;9,454187661
2,62685;1,611375207;0,000223387;9,432888702
2,63187;1,634398283;0,000224757;9,425645724
2,63689;1,665148362;0,000224924;9,440960478
2,6419;1,673688244;0,000227402;9,422941288
2,64692;1,698474109;0,000227406;9,431609164
2,65194;1,688354917;0,000247359;9,411433388
2,65696;1,67116135;0,000309854;9,382428496
2,66197;1,653768046;0,000439643;9,348085579
2,66699;1,591329593;0,000614794;9,299722716
2,67201;1,540605897;0,000711026;9,259468274
2,67703;1,530440256;0,000740752;9,245553377
2,68204;1,524350625;0,00070028;9,238138166
2,68706;1,507298731;0,000515808;9,228284809
2,69208;1,507563498;0,000359507;9,230330237
2,6971;1,507152413;0,000287566;9,227761389
2,70211;1,479674755;0,00023953;9,19542237
2,70713;1,458391241;0,000219578;9,168794547
2,71215;1,44313465;0,000266655;9,155345048
2,71717;1,41564329;0,000223483;9,126784787
2,72218;1,385154029;0,000218836;9,100027484
2,7272;1,362028298;0,000155183;9,082734485
2,73222;1,348164053;7,93E-05;9,0743897
2,73724;1,333381487;4,40E-05;9,06053875
2,74225;1,327162492;1,42E-05;9,057092915
2,74727;1,321206406;1,72E-06;9,052732409
2,75229;1,320467383;1,52E-06;9,051067238
2,75731;1,321450735;9,18E-06;9,050918946
2,76232;1,315392691;2,34E-05;9,05223116
2,76734;1,308820674;4,17E-05;9,046966793
2,77236;1,309475855;7,63E-05;9,051792147
2,77738;1,312547612;0,000104952;9,053183575
2,78239;1,31479743;0,000127907;9,057896306
2,78741;1,319301713;0,000148381;9,058370009
2,79243;1,32150183;0,000161181;9,066051633
2,79745;1,327986752;0,000153826;9,072603844
2,80246;1,337692769;0,000126617;9,08006303
2,80748;1,35070767;0,000103289;9,095067519
2,8125;1,369888845;0,00010027;9,116336552
2,81752;1,387863009;0,000105576;9,134735633
2,82253;1,415014353;0,000116218;9,172055384
2,82755;1,450199736;0,000117918;9,221265979
2,83257;1,521547351;0,000118963;9,314405946
2,83759;1,703476803;0,000111439;9,561490494
2,8426;1,828328162;6,91E-05;9,761816638
2,84762;2,146126976;4,76E-05;10,23963086
2,85264;2,141029059;4,15E-05;10,30533008
2,85766;2,513237398;3,82E-05;10,76618356
2,86267;2,568715278;4,04E-05;11,11871912
2,86769;2,267926553;4,32E-05;10,45051945
2,87271;2,370098567;4,65E-05;10,62517178
2,87773;2,132166348;5,72E-05;10,41442977
2,88274;2,028294253;5,64E-05;10,19871008
2,88776;1,932982943;5,75E-05;10,18811954
2,89278;1,825645659;6,22E-05;10,04014512
2,8978;1,796755913;5,14E-05;9,991333346
2,90281;1,727733134;4,46E-05;9,931973786
2,90783;1,642292507;4,37E-05;9,727211096
2,91285;1,634521376;4,72E-05;9,799976791
2,91787;1,532177496;4,03E-05;9,54807031
2,92288;1,489872912;4,88E-05;9,44849723
2,9279;1,454045819;5,43E-05;9,370503448
2,93292;1,418776825;4,76E-05;9,301849986
2,93794;1,389989502;4,71E-05;9,253666685
2,94295;1,370255569;4,21E-05;9,219011672
2,94797;1,355367561;5,03E-05;9,188780988
2,95299;1,339217963;5,38E-05;9,168074464
2,95801;1,325799874;4,64E-05;9,151827082
2,96302;1,307516583;5,66E-05;9,114426712
2,96804;1,295790677;4,85E-05;9,09187692
2,97306;1,286703146;5,43E-05;9,069192761
2,97808;1,278994259;6,20E-05;9,050664566
2,98309;1,270752355;0,000116469;9,042121162
2,98811;1,267496888;0,000276064;9,041900617
2,99313;1,261940506;0,000300414;9,038071349
2,99815;1,257461771;0,000214649;9,034567919
3,00316;1,253948041;0,000348798;9,033764589
3,00818;1,251503595;0,000610711;9,033197318
3,0132;1,250323758;0,000518615;9,033211365
3,01822;1,246096784;0,000303538;9,032412494
3,02323;1,243453531;0,000333977;9,028862952
3,02825;1,242354518;0,000621276;9,03102589
3,03327;1,239452073;0,000555137;9,030092102
3,03829;1,238574163;0,00034747;9,025691592
3,0433;1,235614351;0,000389214;9,028749473
3,04832;1,236704539;0,000507402;9,029884628
3,05334;1,235373507;0,000489839;9,027256903
3,05836;1,236523151;0,000344521;9,026608278
3,06337;1,237513935;0,000322282;9,027168404
3,06839;1,234022501;0,000396459;9,025848923
3,07341;1,233360816;0,000191202;9,025682858
3,07843;1,232304537;4,08E-05;9,025620499
3,08344;1,230925429;3,81E-06;9,022340302
3,08846;1,230498319;1,74E-06;9,023667968
3,09348;1,227752875;1,26E-06;9,025234745
3,0985;1,225775487;0;9,021876309
3,10351;1,225507005;0;9,023139479
3,10853;1,224498569;0;9,02719766
3,11355;1,224494621;0;9,027213417
3,11857;1,222995299;0;9,025417056
3,12358;1,221175958;0;9,025496943
3,1286;1,222859781;0;9,024882887
3,13362;1,219764172;0;9,025404535
3,13864;1,220679196;0;9,026414607
3,14365;1,22070112;0;9,025686461
3,14867;1,220266741;0;9,027029457
3,15369;1,218594554;0;9,027084792
3,15871;1,219066164;0;9,025953851
3,16372;1,21817411;0;9,027951152
3,16874;1,217598451;0;9,025951958
3,17376;1,217765905;0;9,025502806
3,17878;1,217708306;0;9,028560016
3,18379;1,219077428;0;9,029781532
3,18881;1,216925851;0;9,029847921
3,19383;1,216567534;0;9,029118737
3,19885;1,218116883;0;9,034305904
3,20386;1,217585213;0;9,036177144
3,20888;1,219514525;0;9,036993239
3,2139;1,216688421;0;9,042171244
3,21892;1,216426;0;9,04603441
3,22393;1,217469877;0;9,046332277
3,22895;1,218216101;0;9,052567199
3,23397;1,217763118;0;9,069156727
3,23898;1,217023769;0;9,086030135
3,244;1,217371333;0;9,097534981
3,24902;1,217396416;0;9,112903482
3,25404;1,216003721;0;9,110417087
3,25905;1,217965199;0;9,105518808
3,26407;1,216977783;0;9,100538078
3,26909;1,217765161;0;9,085258748
3,27411;1,217478563;0;9,06898999
3,27912;1,217778376;0;9,064752551
3,28414;1,219279649;0;9,06546042
3,28916;1,218563154;0;9,06583115
3,29418;1,218464308;0;9,067639604
3,29919;1,218375077;0;9,07130293
3,30421;1,218168187;0;9,081132467
3,30923;1,218673868;0;9,086443618
